Hospital Name,City,State,Current Contract Holder,Contract Expiry Date,Net Total Births,Month
FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,MJN Exclusive,2025-09-30,1180,2025-09
STEWART MEM COMM HOSP,LAKE CITY,IA,MJN Exclusive,2025-09-30,104,2025-09
DETAR HOSPITAL NORTH,VICTORIA,TX,MJN Exclusive,2025-09-30,1464,2025-09
LEHIGH VALLEY HOSPITAL SCHUYLKILL,POTTSVILLE,PA,Abbott Exclusive,2025-09-30,550,2025-09
GUADALUPE REGIONAL MED CENTER,SEGUIN,TX,MJN Exclusive,2025-09-30,751,2025-09
GEISINGER WYOMING VALLEY,WILKES BARRE,PA,MJN Exclusive,2025-09-30,2230,2025-09
OU MEDICAL CENTER,OKLAHOMA CITY,OK,MJN Exclusive,2025-09-30,0,2025-09
OVERLAKE HOSP MED CTR,BELLEVUE,WA,MJN Exclusive,2025-09-30,3792,2025-09
HAMILTON HOSPITAL,OLNEY,TX,MJN Exclusive,2025-09-30,82,2025-09
COGDELL MEMORIAL HOSP,SNYDER,TX,MJN Exclusive,2025-09-30,187,2025-09
CHILDRESS REG MED CTR,CHILDRESS,TX,MJN Exclusive,2025-09-30,192,2025-09
HILL REGIONAL HOSPITAL,HILLSBORO,TX,MJN Exclusive,2025-09-30,380,2025-09
THE CHILDRENS HOSPITAL,OKLAHOMA CITY,OK,MJN Exclusive,2025-09-30,4996,2025-09
COON MEMORIAL HOSP,DALHART,TX,MJN Exclusive,2025-09-30,162,2025-09
UH CLEVELAND MEDICAL CENTER,CLEVELAND,OH,MJN Exclusive,2025-10-01,3889,2025-10
OSCEOLA MEDICAL CENTER,OSCEOLA,WI,Abbott Exclusive,2025-10-06,99,2025-10
CHEROKEE REG MED CTR,CHEROKEE,IA,MJN Exclusive,2025-10-14,150,2025-10
HUSHABYE NURSERY,PHOENIX,AZ,MJN Exclusive,2025-10-15,550,2025-10
DOCTORS HOSP AT RENAISSANCE,EDINBURG,TX,MJN Exclusive,2025-10-16,10402,2025-10
CHI ST LUKES HEALTH MEMORIAL LUFKIN,LUFKIN,TX,MJN Exclusive,2025-10-25,764,2025-10
PLUMAS DISTRICT HOSPITAL,QUINCY,CA,Other,2025-10-25,100,2025-10
INDIANA REGIONAL MEDICAL CENTER,INDIANA,PA,Abbott Exclusive,2025-10-30,326,2025-10
BOCA RATON REGIONAL HOSPITAL,BOCA RATON,FL,MJN Exclusive,2025-10-31,2858,2025-10
UNITYPOINT HEALTH FORT DODGE,FORT DODGE,IA,Abbott Exclusive,2025-10-31,452,2025-10
MEMORIAL COMMUNITY HOSP,BLAIR,NE,Choice,2025-10-31,110,2025-10
UNITY HOSPITAL,ROCHESTER,NY,MJN Exclusive,2025-10-31,1571,2025-10
MEMORIAL HOSPITAL MIRAMAR,MIRAMAR,FL,MJN Exclusive,2025-10-31,3991,2025-10
MEMORIAL HOSPITAL WEST,PEMBROKE PINES,FL,MJN Exclusive,2025-10-31,3579,2025-10
UNITED MEMORIAL MEDICAL CENTER,BATAVIA,NY,MJN Exclusive,2025-10-31,554,2025-10
MEMORIAL REGIONAL HOSPITAL,HOLLYWOOD,FL,MJN Exclusive,2025-10-31,5196,2025-10
FRENCH HOSP,SAN LUIS OBISPO,CA,Abbott Exclusive,2025-10-31,466,2025-10
UNION HOSPITAL,TERRE HAUTE,IN,Abbott Exclusive,2025-10-31,1750,2025-10
UNION HOSPITAL,ELKTON,MD,Abbott Exclusive,2025-10-31,290,2025-10
MERCY HOSP OF FOLSOM,FOLSOM,CA,Abbott Exclusive,2025-10-31,806,2025-10
MERCY HOSPITAL,SACRAMENTO,CA,Abbott Exclusive,2025-10-31,2620,2025-10
FREDERICK HEALTH HOSPITAL,FREDERICK,MD,MJN Exclusive,2025-10-31,2448,2025-10
MERCY MED CTR MERCED,MERCED,CA,Other,2025-10-31,2275,2025-10
MERCY MED CTR-MT SHASTA,MOUNT SHASTA,CA,Abbott Exclusive,2025-10-31,221,2025-10
MERCY MEDICAL CENTER,REDDING,CA,MJN Exclusive,2025-10-31,1981,2025-10
MERCY SAN JUAN HOSP,CARMICHAEL,CA,MJN Exclusive,2025-10-31,3463,2025-10
MERCY GILBERT MED CTR,GILBERT,AZ,MJN Exclusive,2025-10-31,3668,2025-10
MEM HOSP LAFAYETTE CO,DARLINGTON,WI,Other,2025-10-31,0,2025-10
GILA RIVER HLTH CARE,SACATON,AZ,Choice,2025-10-31,1,2025-10
MASONIC CHILDRENS HOSPITAL,MINNEAPOLIS,MN,Abbott Exclusive,2025-10-31,2802,2025-10
UNIVERSITY OF VIRGINIA MEDICAL CTR,CHARLOTTESVILLE,VA,MJN Exclusive,2025-10-31,2693,2025-10
LUTHERAN HOSPITAL,GOLDEN,CO,Abbott Exclusive,2025-10-31,1900,2025-10
M HEALTH FAIRVIEW LAKES MED CTR,WYOMING,MN,Abbott Exclusive,2025-10-31,550,2025-10
M HEALTH FAIRVIEW NORTHLAND MED CTR,PRINCETON,MN,Abbott Exclusive,2025-10-31,349,2025-10
M HEALTH FAIRVIEW RIDGES HOSPITAL,BURNSVILLE,MN,Abbott Exclusive,2025-10-31,2365,2025-10
UNIVERSITY MEDICAL CENTER,LUBBOCK,TX,Abbott Exclusive,2025-10-31,4030,2025-10
M HEALTH FAIRVIEW SOUTHDALE HOSP,MINNEAPOLIS,MN,Abbott Exclusive,2025-10-31,3022,2025-10
M HEALTH FAIRVIEW ST JOHNS HOSP,MAPLEWOOD,MN,Abbott Exclusive,2025-10-31,2325,2025-10
UNIVERSITY HOSPITAL,SAN ANTONIO,TX,MJN Exclusive,2025-10-31,4687,2025-10
M HEALTH FAIRVIEW WOODWINDS HOSP,WOODBURY,MN,Abbott Exclusive,2025-10-31,1986,2025-10
ALBERT EINSTEIN MEDICAL CENTER,PHILADELPHIA,PA,MJN Exclusive,2025-10-31,2650,2025-10
MADERA COMMUNITY HOSP,MADERA,CA,MJN Exclusive,2025-10-31,0,2025-10
GRAND ITASCA CLINIC & HOSP,GRAND RAPIDS,MN,Abbott Exclusive,2025-10-31,372,2025-10
MAIMONIDES MEDICAL CENTER,BROOKLYN,NY,Abbott Exclusive,2025-10-31,7800,2025-10
MARIAN MEDICAL CENTER,SANTA MARIA,CA,Abbott Exclusive,2025-10-31,3346,2025-10
UNIV OF LOUISVILLE HOSPITAL,LOUISVILLE,KY,Abbott Exclusive,2025-10-31,1638,2025-10
GLENDALE MEMORIAL HOSP,GLENDALE,CA,Abbott Exclusive,2025-10-31,1280,2025-10
MCALLEN MEDICAL CENTER,MC ALLEN,TX,Abbott Exclusive,2025-10-31,856,2025-10
UK KINGS DAUGHTERS MEDICAL CENTER,ASHLAND,KY,Abbott Exclusive,2025-10-31,1075,2025-10
MERCY ST VINCENT MEDICAL CENTER,TOLEDO,OH,Abbott Exclusive,2025-10-31,1610,2025-10
UH TRIPOINT MEDICAL CENTER,CONCORD TOWNSHIP,OH,MJN Exclusive,2025-10-31,756,2025-10
EVANGELICAL COMMUNITY HOSPITAL,LEWISBURG,PA,Abbott Exclusive,2025-10-31,700,2025-10
TRINITY MEDICAL CENTER WEST,STEUBENVILLE,OH,Abbott Exclusive,2025-10-31,299,2025-10
MOUNT SINAI HOSPITAL,NEW YORK,NY,Abbott Exclusive,2025-10-31,8100,2025-10
MOUNT SINAI WEST,NEW YORK,NY,Abbott Exclusive,2025-10-31,4046,2025-10
MOUNTAIN POINT MEDICAL CENTER,LEHI,UT,Abbott Exclusive,2025-10-31,855,2025-10
ESPANOLA HOSP,ESPANOLA,NM,Choice,2025-10-31,256,2025-10
AVERA MCKENNAN HOSP,SIOUX FALLS,SD,Abbott Exclusive,2025-10-31,2264,2025-10
ELMHURST HOSPITAL CENTER,ELMHURST,NY,Abbott Exclusive,2025-10-31,2624,2025-10
EVERGREEN HEALTHCARE,KIRKLAND,WA,Abbott Exclusive,2025-10-31,5530,2025-10
BACON COUNTY HOSPITAL,ALMA,GA,MJN Exclusive,2025-10-31,350,2025-10
BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD,CA,Other,2025-10-31,3796,2025-10
EISENHOWER MEDICAL CENTER,RANCHO MIRAGE,CA,Abbott Exclusive,2025-10-31,1100,2025-10
BANNER CHURCHILL COMM HOSP,FALLON,NV,Abbott Exclusive,2025-10-31,505,2025-10
SEQUOIA HOSP,REDWOOD CITY,CA,Abbott Exclusive,2025-10-31,1671,2025-10
BANNER FORT COLLINS MEDICAL CTR,FORT COLLINS,CO,Abbott Exclusive,2025-10-31,684,2025-10
NASSAU UNIVERSITY MEDICAL CENTER,EAST MEADOW,NY,MJN Exclusive,2025-10-31,1385,2025-10
NATHAN LITTAUER HOSPITAL,GLOVERSVILLE,NY,MJN Exclusive,2025-10-31,408,2025-10
THE BROOKLYN HOSPITAL CENTER,BROOKLYN,NY,MJN Exclusive,2025-10-31,2502,2025-10
THOMAS JEFFERSON UNIV HOSPITAL,PHILADELPHIA,PA,Abbott Exclusive,2025-10-31,2760,2025-10
LOWELL GENERAL HOSPITAL,LOWELL,MA,Abbott Exclusive,2025-10-31,2232,2025-10
EXEMPLA GOOD SAMARITAN MED CTR,LAFAYETTE,CO,Abbott Exclusive,2025-10-31,1887,2025-10
MONUMENT HEALTH SPEARFISH HOSP,SPEARFISH,SD,MJN Exclusive,2025-10-31,489,2025-10
UH SAMARITAN MEDICAL CENTER,ASHLAND,OH,Other,2025-10-31,0,2025-10
METHODIST HOSPITAL,SACRAMENTO,CA,MJN Exclusive,2025-10-31,2023,2025-10
UH PARMA MEDICAL CENTER,PARMA,OH,Other,2025-10-31,0,2025-10
UH LAKE WEST MEDICAL CENTER,WILLOUGHBY,OH,Abbott Exclusive,2025-10-31,0,2025-10
UH GEAUGA MEDICAL CENTER,CHARDON,OH,MJN Exclusive,2025-10-31,1209,2025-10
METHODIST LEBONHEUR GERMANTOWN HOSP,GERMANTOWN,TN,Abbott Exclusive,2025-10-31,4389,2025-10
METHODIST OLIVE BRANCH HOSPITAL,OLIVE BRANCH,MS,MJN Exclusive,2025-10-31,754,2025-10
ASPEN VALLEY HOSPITAL,ASPEN,CO,Other,2025-10-31,168,2025-10
MOORE COUNTY HOSPITAL DISTRICT,DUMAS,TX,MJN Exclusive,2025-10-31,306,2025-10
METROHEALTH MEDICAL CENTER,CLEVELAND,OH,Abbott Exclusive,2025-10-31,2562,2025-10
FLUSHING HOSPITAL MEDICAL CENTER,FLUSHING,NY,Abbott Exclusive,2025-10-31,2670,2025-10
FLAGET MEMORIAL HOSPITAL,BARDSTOWN,KY,Abbott Exclusive,2025-10-31,250,2025-10
FIRSTHEALTH MOORE REGIONAL HOSPITAL,PINEHURST,NC,MJN Exclusive,2025-10-31,2300,2025-10
FAIRVIEW UNIV MED CTR-MESABI,HIBBING,MN,Abbott Exclusive,2025-10-31,255,2025-10
MONTEFIORE NEW ROCHELLE HOSPITAL,NEW ROCHELLE,NY,MJN Exclusive,2025-10-31,980,2025-10
MONTEFIORE ST LUKES CORNWALL,NEWBURGH,NY,MJN Exclusive,2025-10-31,1048,2025-10
MONUMENT HEALTH RAPID CITY HOSP,RAPID CITY,SD,MJN Exclusive,2025-10-31,2444,2025-10
TUFTS MEDICAL CENTER,BOSTON,MA,Abbott Exclusive,2025-10-31,1271,2025-10
MILLARD FILLMORE SUBURBAN HOSP,WILLIAMSVILLE,NY,MJN Exclusive,2025-10-31,2981,2025-10
LONGMONT UNITED HOSPITAL,LONGMONT,CO,Abbott Exclusive,2025-10-31,360,2025-10
UPSTATE UNIVERSITY HOSPITAL AT,SYRACUSE,NY,MJN Exclusive,2025-10-31,1031,2025-10
BANNER LASSEN COMMUNITY HOSP,SUSANVILLE,CA,Abbott Exclusive,2025-10-31,295,2025-10
WILLIAM P CLEMENTS JR UNIV HOSP,DALLAS,TX,MJN Exclusive,2025-10-31,2272,2025-10
ADVENTHEALTH MANCHESTER,MANCHESTER,KY,Abbott Exclusive,2025-10-31,186,2025-10
ADVENTHEALTH OCALA,OCALA,FL,Abbott Exclusive,2025-10-31,2896,2025-10
HOLY NAME MEDICAL CENTER,TEANECK,NJ,MJN Exclusive,2025-10-31,1581,2025-10
WHITE ROCK MEDICAL CENTER,DALLAS,TX,MJN Exclusive,2025-10-31,1230,2025-10
JOHN MUIR MED CENTER,WALNUT CREEK,CA,MJN Exclusive,2025-10-31,2953,2025-10
HOLMES REGIONAL MEDICAL CENTER,MELBOURNE,FL,Abbott Exclusive,2025-10-31,3191,2025-10
JORDAN VALLEY MEDICAL CENTER,WEST JORDAN,UT,Abbott Exclusive,2025-10-31,1300,2025-10
ADVENTHEALTH ORLANDO,ORLANDO,FL,Abbott Exclusive,2025-10-31,6091,2025-10
JORDAN VALLEY MEDICAL CTR WEST,WEST VALLEY CITY,UT,Abbott Exclusive,2025-10-31,264,2025-10
JW RUBY MEMORIAL HOSPITAL,MORGANTOWN,WV,Abbott Exclusive,2025-10-31,2068,2025-10
ADVENTHEALTH ORLANDO,ORLANDO,FL,MJN Exclusive,2025-10-31,6306,2025-10
WEST KENDALL BAPTIST HOSPITAL,MIAMI,FL,MJN Exclusive,2025-10-31,1125,2025-10
ADVENTHEALTH OTTAWA,OTTAWA,KS,Choice,2025-10-31,0,2025-10
HERITAGE VALLEY SEWICKLEY,SEWICKLEY,PA,MJN Exclusive,2025-10-31,692,2025-10
ADVENTHEALTH PARKER HOSP,PARKER,CO,Abbott Exclusive,2025-10-31,1270,2025-10
HERITAGE VALLEY BEAVER,BEAVER,PA,MJN Exclusive,2025-10-31,1121,2025-10
ADVENTHEALTH LITTLETON HOSP,LITTLETON,CO,Abbott Exclusive,2025-10-31,1705,2025-10
ADVENTHEALTH HEART OF FLORIDA,DAVENPORT,FL,Abbott Exclusive,2025-10-31,800,2025-10
ADVENTHEALTH GORDON,CALHOUN,GA,Abbott Exclusive,2025-10-31,575,2025-10
ADVENTHEALTH FISH MEMORIAL,ORANGE CITY,FL,MJN Exclusive,2025-10-31,860,2025-10
ISLAND HOSPITAL,ANACORTES,WA,Abbott Exclusive,2025-10-31,600,2025-10
ABINGTON MEMORIAL HOSPITAL,ABINGTON,PA,MJN Exclusive,2025-10-31,4500,2025-10
ADVENTHEALTH ALTAMONTE SPRINGS,ALTAMONTE SPRINGS,FL,Abbott Exclusive,2025-10-31,2139,2025-10
YALE NEW HAVEN HOSPITAL,NEW HAVEN,CT,Abbott Exclusive,2025-10-31,6195,2025-10
WYOMING MEDICAL CNTR EAST CAMPUS,CASPER,WY,Other,2025-10-31,0,2025-10
WYCKOFF HEIGHTS MEDICAL CENTER,BROOKLYN,NY,MJN Exclusive,2025-10-31,911,2025-10
ADVENTHEALTH ALTAMONTE SPRINGS,ALTAMONTE SPRINGS,FL,MJN Exclusive,2025-10-31,2125,2025-10
ADVENTHEALTH AVISTA HOSPITAL,LOUISVILLE,CO,Abbott Exclusive,2025-10-31,2146,2025-10
HARRISON COUNTY HOSPITAL,CORYDON,IN,MJN Exclusive,2025-10-31,353,2025-10
WOODLAND MEM HOSP,WOODLAND,CA,MJN Exclusive,2025-10-31,650,2025-10
HOUSTON MEDICAL CENTER,WARNER ROBINS,GA,MJN Exclusive,2025-10-31,1868,2025-10
WINONA HEALTH SERVICES,WINONA,MN,Abbott Exclusive,2025-10-31,165,2025-10
HOMESTEAD HOSPITAL,HOMESTEAD,FL,MJN Exclusive,2025-10-31,871,2025-10
ADVENTHEALTH CASTLE ROCK HOSP,CASTLE ROCK,CO,Abbott Exclusive,2025-10-31,1100,2025-10
ADVENTHEALTH CENTRAL TEXAS,KILLEEN,TX,Abbott Exclusive,2025-10-31,2015,2025-10
JACOBS HOPE,MESA,AZ,MJN Exclusive,2025-10-31,216,2025-10
JAMAICA HOSPITAL MEDICAL CENTER,JAMAICA,NY,Abbott Exclusive,2025-10-31,1650,2025-10
ADVENTHEALTH DAYTONA BEACH,DAYTONA BEACH,FL,MJN Exclusive,2025-10-31,1722,2025-10
HOWARD UNIVERSITY HOSPITAL,WASHINGTON,DC,MJN Exclusive,2025-10-31,1178,2025-10
ADVENTHEALTH SHAWNEE MISSION,SHAWNEE MISSION,KS,Abbott Exclusive,2025-10-31,5655,2025-10
WEIRTON MEDICAL CENTER,WEIRTON,WV,MJN Exclusive,2025-10-31,567,2025-10
ADVENTHEALTH TAMPA,TAMPA,FL,Abbott Exclusive,2025-10-31,2641,2025-10
ADVENTIST HEALTH HANFORD,HANFORD,CA,MJN Exclusive,2025-10-31,2323,2025-10
GREER MEMORIAL HOSPITAL,GREER,SC,Abbott Exclusive,2025-10-31,690,2025-10
VALLEY VIEW HOSPITAL,GLENWOOD SPGS,CO,MJN Exclusive,2025-10-31,720,2025-10
ADVENTIST HEALTH LODI MEMORIAL,LODI,CA,MJN Exclusive,2025-10-31,991,2025-10
ADVENTIST HEALTH REEDLEY,REEDLEY,CA,MJN Exclusive,2025-10-31,1260,2025-10
ADVENTIST HEALTH SONORA,SONORA,CA,MJN Exclusive,2025-10-31,420,2025-10
ADVENTIST HEALTH TULARE,TULARE,CA,MJN Exclusive,2025-10-31,270,2025-10
LINCOLN CO MEDICAL CTR,RUIDOSO,NM,Choice,2025-10-31,350,2025-10
ADVENTIST HEALTH GLENDALE,GLENDALE,CA,MJN Exclusive,2025-10-31,2600,2025-10
GREENVILLE MEMORIAL HOSPITAL,GREENVILLE,SC,Abbott Exclusive,2025-10-31,5612,2025-10
ADVENTIST HEALTHCARE WHITE OAK,SILVER SPRING,MD,MJN Exclusive,2025-10-31,2302,2025-10
UVALDE COUNTY MEM HOSP,UVALDE,TX,Abbott Exclusive,2025-10-31,432,2025-10
UVA PRINCE WILLIAM MEDICAL CTR,MANASSAS,VA,MJN Exclusive,2025-10-31,2860,2025-10
UVA HAYMARKET MEDICAL CENTER,HAYMARKET,VA,MJN Exclusive,2025-10-31,385,2025-10
UVA CULPEPER HOSPITAL,CULPEPER,VA,MJN Exclusive,2025-10-31,568,2025-10
ADVENTIST HINSDALE HOSPITAL,HINSDALE,IL,Abbott Exclusive,2025-10-31,2750,2025-10
LITTLE COLORADO MEDICAL CENTER,WINSLOW,AZ,Choice,2025-10-31,203,2025-10
ADVOCATE CONDELL MED CTR,LIBERTYVILLE,IL,Abbott Exclusive,2025-10-31,942,2025-10
ADVENTIST HEALTHCARE SHADY GROVE,ROCKVILLE,MD,MJN Exclusive,2025-10-31,4655,2025-10
ADVOCATE ILL MASONIC MED CTR,CHICAGO,IL,Abbott Exclusive,2025-10-31,1409,2025-10
ADVENTIST HEALTH FEATHER RIVER,PARADISE,CA,Other,2025-10-31,843,2025-10
LEXINGTON MEDICAL CENTER,WEST COLUMBIA,SC,MJN Exclusive,2025-10-31,4348,2025-10
KAWEAH HEALTH MEDICAL CENTER,VISALIA,CA,Abbott Exclusive,2025-10-31,4270,2025-10
ADVENTHEALTH WATERMAN,TAVARES,FL,Abbott Exclusive,2025-10-31,1017,2025-10
KETCHIKAN MEDICAL CENTER,KETCHIKAN,AK,Abbott Exclusive,2025-10-31,158,2025-10
WASHINGTON HOSPITAL,WASHINGTON,PA,MJN Exclusive,2025-10-31,946,2025-10
L B JOHNSON GEN HOSP,HOUSTON,TX,MJN Exclusive,2025-10-31,1793,2025-10
WASHAKIE MEDICAL CENTER,WORLAND,WY,Abbott Exclusive,2025-10-31,40,2025-10
ADVENTHEALTH WATERMAN,TAVARES,FL,MJN Exclusive,2025-10-31,1018,2025-10
ADVENTHEALTH WINTER GARDEN,WINTER GARDEN,FL,Other,2025-10-31,0,2025-10
GRINNELL GENERAL HOSP,GRINNELL,IA,Abbott Exclusive,2025-10-31,209,2025-10
LAURENS COUNTY MEMORIAL HOSPITAL,CLINTON,SC,Abbott Exclusive,2025-10-31,305,2025-10
WAKEMED CARY HOSPITAL,CARY,NC,MJN Exclusive,2025-10-31,2407,2025-10
ADVENTHEALTH WINTER PARK,WINTER PARK,FL,Abbott Exclusive,2025-10-31,3571,2025-10
ADVENTHEALTH WINTER PARK,WINTER PARK,FL,MJN Exclusive,2025-10-31,3998,2025-10
ADVENTIST BOLINGBROOK HOSPITAL,BOLINGBROOK,IL,Abbott Exclusive,2025-10-31,715,2025-10
ADVENTIST COLUMBIA GORGE HOSP,THE DALLES,OR,Abbott Exclusive,2025-10-31,330,2025-10
VERDE VALLEY MEDICAL CENTER,COTTONWOOD,AZ,Abbott Exclusive,2025-10-31,900,2025-10
LE BONHEUR CHILDRENS HOSPITAL,MEMPHIS,TN,Choice,2025-10-31,1250,2025-10
ADVENTIST HEALTH BAKERSFIELD,BAKERSFIELD,CA,MJN Exclusive,2025-10-31,3495,2025-10
WAKEMED RALEIGH CAMPUS,RALEIGH,NC,MJN Exclusive,2025-10-31,5268,2025-10
TEXAS HEALTH HUGULEY,BURLESON,TX,Abbott Exclusive,2025-10-31,1800,2025-10
PLEASANT VALLEY HOSPITAL,POINT PLEASANT,WV,MJN Exclusive,2025-10-31,0,2025-10
PELLA REGIONAL HEALTH CENTER,PELLA,IA,Abbott Exclusive,2025-10-31,610,2025-10
PLATTE VALLEY MEDICAL CENTER,BRIGHTON,CO,Abbott Exclusive,2025-10-31,1071,2025-10
PRESBYTERIAN HOSPITAL SERVICE,ALBUQUERQUE,NM,Abbott Exclusive,2025-10-31,3430,2025-10
PRESBYTERIAN RIO RANCHO MED CTR,RIO RANCHO,NM,Abbott Exclusive,2025-10-31,1090,2025-10
PRISMA HEALTH BAPTIST HOSPITAL,COLUMBIA,SC,Abbott Exclusive,2025-10-31,2251,2025-10
PRISMA HEALTH PATEWOOD HOSPITAL,GREENVILLE,SC,Abbott Exclusive,2025-10-31,1815,2025-10
PRISMA HEALTH RICHLAND HOSPITAL,COLUMBIA,SC,Abbott Exclusive,2025-10-31,2315,2025-10
CHI ST LUKES HEALTH WOODLANDS,THE WOODLANDS,TX,MJN Exclusive,2025-10-31,2003,2025-10
ST CATHERINE HOSPITAL,GARDEN CITY,KS,Abbott Exclusive,2025-10-31,685,2025-10
ST CATHERINE HOSPITAL,EAST CHICAGO,IN,Choice,2025-10-31,500,2025-10
CHI ST LUKES HEALTH MEM LIVINGSTON,LIVINGSTON,TX,MJN Exclusive,2025-10-31,421,2025-10
ST BERNARDINE MED CENTER,SAN BERNARDINO,CA,Abbott Exclusive,2025-10-31,2190,2025-10
CHI ST ALEXIUS HEALTH WILLISTON,WILLISTON,ND,Abbott Exclusive,2025-10-31,751,2025-10
ST ANTHONYS NORTH HEALTH CAMPUS,WESTMINSTER,CO,Abbott Exclusive,2025-10-31,1112,2025-10
ST ANTHONY SUMMIT MEDICAL CENTER,FRISCO,CO,Other,2025-10-31,380,2025-10
CHI ST ALEXIUS HEALTH DICKINSON,DICKINSON,ND,Abbott Exclusive,2025-10-31,624,2025-10
ST ANTHONY HOSPITAL,PENDLETON,OR,Abbott Exclusive,2025-10-31,313,2025-10
CHI ST ALEXIUS HEALTH DEVILS LAKE,DEVILS LAKE,ND,Choice,2025-10-31,258,2025-10
PLATTE CO MEM HOSP,WHEATLAND,WY,Abbott Exclusive,2025-10-31,51,2025-10
CHI ST ALEXIUS HEALTH BISMARCK,BISMARCK,ND,Abbott Exclusive,2025-10-31,709,2025-10
ST ELIZABETH COMM HOSP,RED BLUFF,CA,Choice,2025-10-31,586,2025-10
ST ELIZABETH HOSPITAL,ENUMCLAW,WA,Choice,2025-10-31,464,2025-10
ST JOSEPH HOSPITAL,PARK RAPIDS,MN,Abbott Exclusive,2025-10-31,111,2025-10
ST JOSEPH HOSP,STOCKTON,CA,Abbott Exclusive,2025-10-31,3271,2025-10
SKAGIT VALLEY HOSPITAL,MOUNT VERNON,WA,MJN Exclusive,2025-10-31,1140,2025-10
ST JOHNS RIVERSIDE HOSPITAL,YONKERS,NY,MJN Exclusive,2025-10-31,1329,2025-10
COLLEGE STATION MEDICAL CENTER,COLLEGE STATION,TX,MJN Exclusive,2025-10-31,1885,2025-10
ST JOHNS EPISCOPAL HOSPITAL,FAR ROCKAWAY,NY,MJN Exclusive,2025-10-31,402,2025-10
ST JOHN MEDICAL CENTER,WESTLAKE,OH,MJN Exclusive,2025-10-31,914,2025-10
ST JOHN MEDICAL CENTER,LONGVIEW,WA,Abbott Exclusive,2025-10-31,940,2025-10
PEACE HARBOR HOSP,FLORENCE,OR,Choice,2025-10-31,40,2025-10
ST GABRIELS HOSPITAL,LITTLE FALLS,MN,Abbott Exclusive,2025-10-31,90,2025-10
PEACEHEALTH SOUTHWEST MED CENTER,VANCOUVER,WA,Abbott Exclusive,2025-10-31,1753,2025-10
TEXAS HEALTH HOSPITAL MANSFIELD,MANSFIELD,TX,Abbott Exclusive,2025-10-31,600,2025-10
CLOVIS COMMUNITY MED CTR,CLOVIS,CA,Abbott Exclusive,2025-10-31,5934,2025-10
ST FRANCIS MEDICAL CENTER,COLORADO SPRINGS,CO,Abbott Exclusive,2025-10-31,3620,2025-10
SILVER STATE PEDIATRIC,LAS VEGAS,NV,MJN Exclusive,2025-10-31,500,2025-10
ST FRANCIS HOSPITAL,FEDERAL WAY,WA,Choice,2025-10-31,1285,2025-10
CHOCTAW HEALTH CENTER,CHOCTAW,MS,Other,2025-10-31,0,2025-10
PLAINS REGIONAL MED CTR,CLOVIS,NM,Abbott Exclusive,2025-10-31,1211,2025-10
OSWEGO HOSPITAL,OSWEGO,NY,MJN Exclusive,2025-10-31,430,2025-10
CHI SAINT VINCENT HOT SPRINGS,HOT SPRINGS,AR,Choice,2025-10-31,1075,2025-10
CHI HEALTH ST ELIZABETH,LINCOLN,NE,Abbott Exclusive,2025-10-31,1045,2025-10
CARILION ROANOKE MEM HOSPITAL,ROANOKE,VA,MJN Exclusive,2025-10-31,4341,2025-10
SACRED HEART MEDICAL CTR,SPRINGFIELD,OR,Abbott Exclusive,2025-10-31,2545,2025-10
SAGE MEM HOSP,GANADO,AZ,Choice,2025-10-31,5,2025-10
SOUTH NASSAU COMMUNITIES HOSP,OCEANSIDE,NY,Abbott Exclusive,2025-10-31,2164,2025-10
SOUTH MIAMI HOSPITAL,SOUTH MIAMI,FL,MJN Exclusive,2025-10-31,3628,2025-10
SAINT ANNE HOSPITAL,BURIEN,WA,Choice,2025-10-31,909,2025-10
CARILION NEW RIVER VALLEY MED,RADFORD,VA,MJN Exclusive,2025-10-31,848,2025-10
SAINT JOSEPH - LONDON,LONDON,KY,Abbott Exclusive,2025-10-31,899,2025-10
SAINT JOSEPH HOSPITAL,DENVER,CO,Abbott Exclusive,2025-10-31,3770,2025-10
SAINT MICHAEL MEDICAL CENTER,BREMERTON,WA,Choice,2025-10-31,2065,2025-10
SAINT VINCENT HOSPITAL,BILLINGS,MT,Abbott Exclusive,2025-10-31,1744,2025-10
SALEM HOSPITAL,SALEM,OR,Abbott Exclusive,2025-10-31,3025,2025-10
CAPE CANAVERAL HOSPITAL,COCOA BEACH,FL,Abbott Exclusive,2025-10-31,700,2025-10
SALT LAKE L D S HOSP,SALT LAKE CITY,UT,Abbott Exclusive,2025-10-31,1675,2025-10
SAMARITAN MEDICAL CENTER,WATERTOWN,NY,MJN Exclusive,2025-10-31,1421,2025-10
BEN TAUB GEN HOSPITAL,HOUSTON,TX,MJN Exclusive,2025-10-31,3713,2025-10
SAN BERNARDINO COMM HOSP,SAN BERNARDINO,CA,Abbott Exclusive,2025-10-31,2212,2025-10
CARLE RICHLAND MEMORIAL HOSPITAL,OLNEY,IL,Abbott Exclusive,2025-10-31,228,2025-10
CHI HEALTH ST MARYS COMMUNITY HOSP,NEBRASKA CITY,NE,Abbott Exclusive,2025-10-31,118,2025-10
ROSELAND COMMUNITY HOSP,CHICAGO,IL,MJN Exclusive,2025-10-31,266,2025-10
ROCHESTER GENERAL HOSPITAL,ROCHESTER,NY,MJN Exclusive,2025-10-31,2201,2025-10
